year,WHO_ASR_per_100k
2010,2.59
2011,2.02
2012,1.32
2013,1.5
2014,1.44
2015,1.32
2016,1.69
2017,2.0
2018,2.23
2019,1.59
2020,1.57
2021,2.27
2022,2.01
2023,1.42
