year,0
2010,2.23
2011,1.88
2012,1.22
2013,1.37
2014,1.31
2015,1.24
2016,1.22
2017,1.82
2018,2.04
2019,1.5
2020,1.42
2021,1.84
2022,1.8
2023,1.42
